Title,Category,Priority,Status,Description,Effort,Dependencies,Source,Project,Due Date,Created
Freemium Portfolio Limits,Monetization,P1-High,to_do,"Free users track 10 assets, premium gets unlimited. Keeps beginners engaged while incentivizing upgrade",low,,Claude Suggestions,Bitcoin Investments,,
Tiered Price Alerts,Monetization,P1-High,to_do,"Free users get 3 active price alerts, premium gets unlimited custom alerts with SMS/email",low,Existing alerts,Claude Suggestions,Bitcoin Investments,,
Tax Season Premium Package,Monetization,P0-Critical,to_do,"$29-49 one-time seasonal package for tax report generation (Jan-April). High conversion period, doesn't require subscription commitment",medium,Portfolio data,Claude Suggestions,Bitcoin Investments,,
Delayed vs Real-Time Data,Monetization,P2-Medium,to_do,"Free tier shows 15-minute delayed prices, premium gets real-time. Standard industry practice",low,CoinGecko API,Claude Suggestions,Bitcoin Investments,,
Historical Data Paywall,Monetization,P2-Medium,to_do,"Free users see 30-day price history, premium unlocks full historical charts and data",low,,Claude Suggestions,Bitcoin Investments,,
Crypto Certification Program,Monetization,P1-High,to_do,"'Bitcoin Investments Certified Beginner' badge after completing course + quiz. $29-49 one-time fee. Shareable credential for LinkedIn/social",medium,Beginner's Course,Claude Suggestions,Bitcoin Investments,,
Sponsored Exchange Placements,Monetization,P1-High,to_do,"Exchanges pay for 'Featured' or 'Recommended' badges in comparison engine. Clear disclosure with 'Sponsored' label. $500-2000/month per placement",low,Exchange Comparison,Claude Suggestions,Bitcoin Investments,,
Premium Discord/Community Access,Monetization,P2-Medium,to_do,"Exclusive Discord server for premium members with market discussions, expert Q&A, and early alpha. Strong retention driver",low,Discord setup,Claude Suggestions,Bitcoin Investments,,
Ad-Free Premium Perk,Monetization,P1-High,to_do,"Include ad-free browsing as premium benefit. Creates dual revenue: free users see ads, premium pays subscription",low,Ad Platform,Claude Suggestions,Bitcoin Investments,,
Advisor/Enterprise Tier,Monetization,P2-Medium,to_do,"$49-99/month tier for financial advisors to use platform with clients. Includes white-label reports, multi-client dashboards, compliance features",high,Multi-Portfolio,Claude Suggestions,Bitcoin Investments,,
Affiliate Influencer Program,Monetization,P1-High,to_do,"Let crypto YouTubers/bloggers earn commission referring users. 20-30% revenue share. They promote, you acquire users at zero upfront cost",medium,,Claude Suggestions,Bitcoin Investments,,
Gift Subscriptions,Monetization,P3-Low,to_do,"Allow purchasing premium as gift for others. Great for holidays, popular in education space",low,Stripe,Claude Suggestions,Bitcoin Investments,,
Premium Export Formats,Monetization,P2-Medium,to_do,"Free users get basic CSV export. Premium gets formatted PDF reports, Excel with charts, direct tax software integration",medium,,Claude Suggestions,Bitcoin Investments,,
Backtesting Tool (Premium),Monetization,P2-Medium,to_do,"'What if I had invested $X in BTC 5 years ago?' tool. Free gets basic, premium gets advanced multi-asset backtesting with DCA simulation",medium,Historical data,Claude Suggestions,Bitcoin Investments,,
AI Portfolio Analysis (Premium),Monetization,P1-High,to_do,"Claude-powered portfolio review: risk assessment, diversification score, rebalancing suggestions. High perceived value, uses existing AI infra",medium,Claude API,Claude Suggestions,Bitcoin Investments,,
Sponsored Learning Paths,Monetization,P2-Medium,to_do,"Exchanges sponsor educational content (e.g., 'Coinbase Beginner Path'). They pay for branded content, users get free education. Win-win",medium,CMS,Claude Suggestions,Bitcoin Investments,,
Priority Support Tier,Monetization,P2-Medium,to_do,"Free users get community forum support. Premium gets email support with 24hr response. Creates clear value differentiation",low,,Claude Suggestions,Bitcoin Investments,,
Watchlist Limits,Monetization,P2-Medium,to_do,"Free users can watchlist 5 coins, premium gets unlimited. Low friction upgrade path",low,,Claude Suggestions,Bitcoin Investments,,
Monthly Performance Report (Premium),Monetization,P2-Medium,to_do,"Auto-generated monthly PDF: portfolio performance, market summary, personalized insights. Delivered via email. High retention value",medium,Portfolio data,Claude Suggestions,Bitcoin Investments,,
Crypto Course Marketplace,Monetization,P3-Low,to_do,"Partner with crypto educators to sell courses on platform. Take 20-30% commission. Curated quality control keeps trust",high,,Claude Suggestions,Bitcoin Investments,,
Pay-Per-Report Research,Monetization,P2-Medium,to_do,"Individual deep-dive coin research reports for $5-15 each. Alternative to subscription for casual users",medium,AI Research,Claude Suggestions,Bitcoin Investments,,
Consultation Marketplace,Monetization,P3-Low,to_do,"Connect beginners with verified crypto consultants for paid 1:1 sessions. Platform takes 15-20% cut. Vet consultants carefully",high,,Claude Suggestions,Bitcoin Investments,,
Annual Plan Discount,Monetization,P1-High,to_do,"Offer 2 months free on annual subscription ($99/year vs $9.99/month). Improves cash flow and reduces churn",low,Stripe,Claude Suggestions,Bitcoin Investments,,
Student/Nonprofit Discount,Monetization,P3-Low,to_do,"50% discount for students and nonprofits. Builds goodwill, captures future high-earners early",low,Verification system,Claude Suggestions,Bitcoin Investments,,
Custom Dashboard Widgets (Premium),Monetization,P3-Low,to_do,"Free users get standard dashboard. Premium can customize layout, add widgets, create multiple dashboard views",medium,,Claude Suggestions,Bitcoin Investments,,
